card_1,card_2,card_1_W,card_1_L,Games Played,card_1_overall_rating,card_1_matchup_rating
Berserker,Executioner,0,0,0,0.3785,0.5625
Berserker,Fireball,1,1,2,0.3785,0.5
Berserker,Fisherman,0,0,0,0.3785,0.5625
Berserker,Flying Machine,0,1,1,0.3785,0.404
Berserker,Furnace,0,0,0,0.3785,0.5625
Berserker,Giant,0,0,0,0.3785,0.5625
Berserker,Giant Snowball,0,0,0,0.3785,0.5625
Berserker,Goblin Barrel,1,1,2,0.3785,0.5
Berserker,Goblin Demolisher,1,1,2,0.3785,0.5
Berserker,Goblin Drill,0,0,0,0.3785,0.5625
Berserker,Goblin Giant,0,0,0,0.3785,0.5625
Berserker,Goblin Hut,0,5,5,0.3785,0.3815
Berserker,Golem,0,2,2,0.3785,0.3958
Berserker,Graveyard,0,0,0,0.3785,0.5625
Berserker,Hunter,1,0,1,0.3785,0.82
Berserker,Ice Spirit,1,3,4,0.3785,0.3852
Berserker,Ice Wizard,0,0,0,0.3785,0.5625
Berserker,Inferno Tower,0,0,0,0.3785,0.5625
Berserker,Knight,1,3,4,0.3785,0.3852
Berserker,Lava Hound,0,0,0,0.3785,0.5625
Berserker,Mega Knight,0,0,0,0.3785,0.5625
Berserker,Mortar,1,0,1,0.3785,0.82
Berserker,Mother Witch,0,0,0,0.3785,0.5625
Berserker,Musketeer,0,4,4,0.3785,0.3852
Berserker,Night Witch,0,0,0,0.3785,0.5625
Berserker,P.E.K.K.A,0,0,0,0.3785,0.5625
Berserker,Poison,0,3,3,0.3785,0.3898
Berserker,Princess,0,0,0,0.3785,0.5625
Berserker,Rage,0,0,0,0.3785,0.5625
Berserker,Ram Rider,0,0,0,0.3785,0.5625
Berserker,Rascals,0,1,1,0.3785,0.404
Berserker,Rocket,0,0,0,0.3785,0.5625
Berserker,Royal Delivery,0,0,0,0.3785,0.5625
Berserker,Royal Giant,0,1,1,0.3785,0.404
Berserker,Rune Giant,0,0,0,0.3785,0.5625
Berserker,Suspicious Bush,0,2,2,0.3785,0.3958
Berserker,The Log,1,3,4,0.3785,0.3852
Berserker,Tombstone,0,0,0,0.3785,0.5625
Berserker,Vines,0,2,2,0.3785,0.3958
Berserker,Witch,0,1,1,0.3785,0.404
Berserker,Wizard,0,0,0,0.3785,0.5625
Berserker,X-Bow,0,1,1,0.3785,0.404
Berserker,Zappies,0,0,0,0.3785,0.5625
Dart Goblin,Baby Dragon,0,2,2,0.3722,0.3958
Dart Goblin,Barbarian Hut,0,0,0,0.3722,0.5625
Dart Goblin,Berserker,0,0,0,0.3722,0.5625
Dart Goblin,Electro Spirit,1,4,5,0.3722,0.3815
Dart Goblin,Electro Wizard,0,2,2,0.3722,0.3958
Dart Goblin,Elixir Golem,0,0,0,0.3722,0.5625
Dart Goblin,Executioner,0,0,0,0.3722,0.5625
Dart Goblin,Fireball,2,1,3,0.3722,0.6224
Dart Goblin,Fisherman,0,0,0,0.3722,0.5625
Dart Goblin,Flying Machine,1,2,3,0.3722,0.3898
Dart Goblin,Furnace,1,0,1,0.3722,0.82
Dart Goblin,Giant,0,0,0,0.3722,0.5625
Dart Goblin,Giant Snowball,0,0,0,0.3722,0.5625
Dart Goblin,Goblin Barrel,1,2,3,0.3722,0.3898
Dart Goblin,Goblin Demolisher,0,1,1,0.3722,0.404
Dart Goblin,Goblin Drill,0,0,0,0.3722,0.5625
Dart Goblin,Goblin Giant,0,0,0,0.3722,0.5625
Dart Goblin,Goblin Hut,1,3,4,0.3722,0.3852
Dart Goblin,Golem,0,1,1,0.3722,0.404
Dart Goblin,Graveyard,0,2,2,0.3722,0.3958
Dart Goblin,Hunter,0,0,0,0.3722,0.5625
Dart Goblin,Ice Spirit,1,1,2,0.3722,0.5
Dart Goblin,Ice Wizard,0,0,0,0.3722,0.5625
Dart Goblin,Inferno Tower,0,0,0,0.3722,0.5625
Dart Goblin,Knight,1,4,5,0.3722,0.3815
Dart Goblin,Lava Hound,0,0,0,0.3722,0.5625
Dart Goblin,Mega Knight,0,0,0,0.3722,0.5625
Dart Goblin,Mortar,0,0,0,0.3722,0.5625
Dart Goblin,Mother Witch,0,0,0,0.3722,0.5625
Dart Goblin,Musketeer,2,5,7,0.3722,0.376
Dart Goblin,Night Witch,0,0,0,0.3722,0.5625
Dart Goblin,P.E.K.K.A,1,0,1,0.3722,0.82
Dart Goblin,Poison,1,4,5,0.3722,0.3815
Dart Goblin,Princess,0,0,0,0.3722,0.5625
Dart Goblin,Rage,0,0,0,0.3722,0.5625
Dart Goblin,Ram Rider,0,0,0,0.3722,0.5625
Dart Goblin,Rascals,2,3,5,0.3722,0.421
Dart Goblin,Rocket,0,0,0,0.3722,0.5625
Dart Goblin,Royal Delivery,1,1,2,0.3722,0.5
Dart Goblin,Royal Giant,0,0,0,0.3722,0.5625
Dart Goblin,Rune Giant,0,0,0,0.3722,0.5625
Dart Goblin,Suspicious Bush,3,2,5,0.3722,0.579
Dart Goblin,The Log,1,5,6,0.3722,0.3785
Dart Goblin,Tombstone,0,0,0,0.3722,0.5625
Dart Goblin,Vines,2,3,5,0.3722,0.421
Dart Goblin,Witch,0,0,0,0.3722,0.5625
Dart Goblin,Wizard,1,0,1,0.3722,0.82
Dart Goblin,X-Bow,1,0,1,0.3722,0.82
Dart Goblin,Zappies,0,0,0,0.3722,0.5625
Electro Spirit,Baby Dragon,4,3,7,0.4609,0.559
Electro Spirit,Barbarian Hut,1,4,5,0.4609,0.3815
Electro Spirit,Berserker,3,0,3,0.4609,0.8673
Electro Spirit,Dart Goblin,4,1,5,0.4609,0.737
Electro Spirit,Electro Wizard,1,2,3,0.4609,0.3898
Electro Spirit,Elixir Golem,0,0,0,0.4609,0.5625
Electro Spirit,Executioner,0,0,0,0.4609,0.5625
Electro Spirit,Fireball,6,5,11,0.4609,0.5396
Electro Spirit,Fisherman,0,0,0,0.4609,0.5625
Electro Spirit,Flying Machine,5,4,9,0.4609,0.5473
Electro Spirit,Furnace,0,0,0,0.4609,0.5625
Electro Spirit,Giant,2,1,3,0.4609,0.6224
Electro Spirit,Giant Snowball,0,0,0,0.4609,0.5625
Electro Spirit,Goblin Barrel,4,2,6,0.4609,0.635
Electro Spirit,Goblin Demolisher,1,2,3,0.4609,0.3898
Electro Spirit,Goblin Drill,0,0,0,0.4609,0.5625
Electro Spirit,Goblin Giant,0,0,0,0.4609,0.5625
Electro Spirit,Goblin Hut,2,4,6,0.4609,0.3785
Electro Spirit,Golem,3,1,4,0.4609,0.6914
Electro Spirit,Graveyard,1,6,7,0.4609,0.376
Electro Spirit,Hunter,1,0,1,0.4609,0.82
Electro Spirit,Ice Spirit,5,8,13,0.4609,0.3978
Electro Spirit,Ice Wizard,0,0,0,0.4609,0.5625
Electro Spirit,Inferno Tower,0,0,0,0.4609,0.5625
Electro Spirit,Knight,4,8,12,0.4609,0.3682
Electro Spirit,Lava Hound,0,0,0,0.4609,0.5625
Electro Spirit,Mega Knight,0,0,0,0.4609,0.5625
Electro Spirit,Mortar,1,0,1,0.4609,0.82
Electro Spirit,Mother Witch,2,1,3,0.4609,0.6224
Electro Spirit,Musketeer,6,9,15,0.4609,0.4102
Electro Spirit,Night Witch,0,0,0,0.4609,0.5625
Electro Spirit,P.E.K.K.A,2,1,3,0.4609,0.6224
Electro Spirit,Poison,5,7,12,0.4609,0.4268
Electro Spirit,Princess,0,0,0,0.4609,0.5625
Electro Spirit,Rage,0,0,0,0.4609,0.5625
Electro Spirit,Ram Rider,0,0,0,0.4609,0.5625
Electro Spirit,Rascals,3,6,9,0.4609,0.3722
Electro Spirit,Rocket,0,0,0,0.4609,0.5625
Electro Spirit,Royal Delivery,2,1,3,0.4609,0.6224
Electro Spirit,Royal Giant,1,2,3,0.4609,0.3898
Electro Spirit,Rune Giant,0,1,1,0.4609,0.404
Electro Spirit,Suspicious Bush,4,2,6,0.4609,0.635
Electro Spirit,The Log,5,9,14,0.4609,0.3726
Electro Spirit,Tombstone,2,5,7,0.4609,0.376
Electro Spirit,Vines,3,4,7,0.4609,0.441
Electro Spirit,Witch,3,4,7,0.4609,0.441
Electro Spirit,Wizard,1,0,1,0.4609,0.82
Electro Spirit,X-Bow,1,1,2,0.4609,0.5
Electro Spirit,Zappies,0,0,0,0.4609,0.5625
Electro Wizard,Baby Dragon,1,1,2,0.6769,0.5
Electro Wizard,Barbarian Hut,1,1,2,0.6769,0.5
Electro Wizard,Berserker,1,0,1,0.6769,0.82
Electro Wizard,Dart Goblin,2,0,2,0.6769,0.8472
Electro Wizard,Electro Spirit,2,1,3,0.6769,0.6224
Electro Wizard,Elixir Golem,0,0,0,0.6769,0.5625
Electro Wizard,Executioner,0,0,0,0.6769,0.5625
Electro Wizard,Fireball,3,0,3,0.6769,0.8673
Electro Wizard,Fisherman,0,0,0,0.6769,0.5625
Electro Wizard,Flying Machine,2,2,4,0.6769,0.5
Electro Wizard,Furnace,1,0,1,0.6769,0.82
Electro Wizard,Giant,1,0,1,0.6769,0.82
Electro Wizard,Giant Snowball,0,0,0,0.6769,0.5625
Electro Wizard,Goblin Barrel,1,0,1,0.6769,0.82
Electro Wizard,Goblin Demolisher,0,0,0,0.6769,0.5625
Electro Wizard,Goblin Drill,0,0,0,0.6769,0.5625
Electro Wizard,Goblin Giant,0,0,0,0.6769,0.5625
Electro Wizard,Goblin Hut,2,0,2,0.6769,0.8472
Electro Wizard,Golem,1,0,1,0.6769,0.82
Electro Wizard,Graveyard,1,1,2,0.6769,0.5
Electro Wizard,Hunter,0,0,0,0.6769,0.5625
Electro Wizard,Ice Spirit,1,0,1,0.6769,0.82
Electro Wizard,Ice Wizard,0,0,0,0.6769,0.5625
Electro Wizard,Inferno Tower,0,0,0,0.6769,0.5625
Electro Wizard,Knight,2,2,4,0.6769,0.5
Electro Wizard,Lava Hound,0,0,0,0.6769,0.5625
Electro Wizard,Mega Knight,0,0,0,0.6769,0.5625
Electro Wizard,Mortar,0,0,0,0.6769,0.5625
Electro Wizard,Mother Witch,1,0,1,0.6769,0.82
Electro Wizard,Musketeer,2,2,4,0.6769,0.5
Electro Wizard,Night Witch,0,0,0,0.6769,0.5625
Electro Wizard,P.E.K.K.A,1,1,2,0.6769,0.5
Electro Wizard,Poison,2,2,4,0.6769,0.5
Electro Wizard,Princess,0,0,0,0.6769,0.5625
Electro Wizard,Rage,0,0,0,0.6769,0.5625
Electro Wizard,Ram Rider,0,0,0,0.6769,0.5625
Electro Wizard,Rascals,1,0,1,0.6769,0.82
Electro Wizard,Rocket,0,0,0,0.6769,0.5625
Electro Wizard,Royal Delivery,1,0,1,0.6769,0.82
Electro Wizard,Royal Giant,0,0,0,0.6769,0.5625
Electro Wizard,Rune Giant,0,0,0,0.6769,0.5625
Electro Wizard,Suspicious Bush,2,0,2,0.6769,0.8472
Electro Wizard,The Log,2,2,4,0.6769,0.5
Electro Wizard,Tombstone,1,0,1,0.6769,0.82
Electro Wizard,Vines,3,1,4,0.6769,0.6914
Electro Wizard,Witch,1,0,1,0.6769,0.82
Electro Wizard,Wizard,0,0,0,0.6769,0.5625
Electro Wizard,X-Bow,1,0,1,0.6769,0.82
Electro Wizard,Zappies,0,0,0,0.6769,0.5625
Elixir Golem,Baby Dragon,0,0,0,0.5625,0.5625
Elixir Golem,Barbarian Hut,0,0,0,0.5625,0.5625
Elixir Golem,Berserker,0,0,0,0.5625,0.5625
Elixir Golem,Dart Goblin,0,0,0,0.5625,0.5625
Elixir Golem,Electro Spirit,0,0,0,0.5625,0.5625
Elixir Golem,Electro Wizard,0,0,0,0.5625,0.5625
Elixir Golem,Executioner,0,0,0,0.5625,0.5625
Elixir Golem,Fireball,0,0,0,0.5625,0.5625
Elixir Golem,Fisherman,0,0,0,0.5625,0.5625
Elixir Golem,Flying Machine,0,0,0,0.5625,0.5625
Elixir Golem,Furnace,0,0,0,0.5625,0.5625
Elixir Golem,Giant,0,0,0,0.5625,0.5625
Elixir Golem,Giant Snowball,0,0,0,0.5625,0.5625
Elixir Golem,Goblin Barrel,0,0,0,0.5625,0.5625
Elixir Golem,Goblin Demolisher,0,0,0,0.5625,0.5625
Elixir Golem,Goblin Drill,0,0,0,0.5625,0.5625
Elixir Golem,Goblin Giant,0,0,0,0.5625,0.5625
Elixir Golem,Goblin Hut,0,0,0,0.5625,0.5625
Elixir Golem,Golem,0,0,0,0.5625,0.5625
Elixir Golem,Graveyard,0,0,0,0.5625,0.5625
Elixir Golem,Hunter,0,0,0,0.5625,0.5625
Elixir Golem,Ice Spirit,0,0,0,0.5625,0.5625
Elixir Golem,Ice Wizard,0,0,0,0.5625,0.5625
Elixir Golem,Inferno Tower,0,0,0,0.5625,0.5625
Elixir Golem,Knight,0,0,0,0.5625,0.5625
Elixir Golem,Lava Hound,0,0,0,0.5625,0.5625
Elixir Golem,Mega Knight,0,0,0,0.5625,0.5625
Elixir Golem,Mortar,0,0,0,0.5625,0.5625
Elixir Golem,Mother Witch,0,0,0,0.5625,0.5625
Elixir Golem,Musketeer,0,0,0,0.5625,0.5625
Elixir Golem,Night Witch,0,0,0,0.5625,0.5625
Elixir Golem,P.E.K.K.A,0,0,0,0.5625,0.5625
Elixir Golem,Poison,0,0,0,0.5625,0.5625
Elixir Golem,Princess,0,0,0,0.5625,0.5625
Elixir Golem,Rage,0,0,0,0.5625,0.5625
Elixir Golem,Ram Rider,0,0,0,0.5625,0.5625
Elixir Golem,Rascals,0,0,0,0.5625,0.5625
Elixir Golem,Rocket,0,0,0,0.5625,0.5625
Elixir Golem,Royal Delivery,0,0,0,0.5625,0.5625
Elixir Golem,Royal Giant,0,0,0,0.5625,0.5625
Elixir Golem,Rune Giant,0,0,0,0.5625,0.5625
Elixir Golem,Suspicious Bush,0,0,0,0.5625,0.5625
Elixir Golem,The Log,0,0,0,0.5625,0.5625
Elixir Golem,Tombstone,0,0,0,0.5625,0.5625
Elixir Golem,Vines,0,0,0,0.5625,0.5625
Elixir Golem,Witch,0,0,0,0.5625,0.5625
Elixir Golem,Wizard,0,0,0,0.5625,0.5625
Elixir Golem,X-Bow,0,0,0,0.5625,0.5625
Elixir Golem,Zappies,0,0,0,0.5625,0.5625
Executioner,Baby Dragon,0,0,0,0.8472,0.5625
Executioner,Barbarian Hut,0,0,0,0.8472,0.5625
Executioner,Berserker,0,0,0,0.8472,0.5625
Executioner,Dart Goblin,0,0,0,0.8472,0.5625
Executioner,Electro Spirit,0,0,0,0.8472,0.5625
Executioner,Electro Wizard,0,0,0,0.8472,0.5625
Executioner,Elixir Golem,0,0,0,0.8472,0.5625
Executioner,Fireball,1,0,1,0.8472,0.82
Executioner,Fisherman,0,0,0,0.8472,0.5625
Executioner,Flying Machine,2,0,2,0.8472,0.8472
Executioner,Furnace,0,0,0,0.8472,0.5625
Executioner,Giant,0,0,0,0.8472,0.5625
Executioner,Giant Snowball,0,0,0,0.8472,0.5625
Executioner,Goblin Barrel,1,0,1,0.8472,0.82
Executioner,Goblin Demolisher,0,0,0,0.8472,0.5625
Executioner,Goblin Drill,0,0,0,0.8472,0.5625
Executioner,Goblin Giant,0,0,0,0.8472,0.5625
Executioner,Goblin Hut,0,0,0,0.8472,0.5625
Executioner,Golem,1,0,1,0.8472,0.82
Executioner,Graveyard,0,0,0,0.8472,0.5625
Executioner,Hunter,0,0,0,0.8472,0.5625
Executioner,Ice Spirit,1,0,1,0.8472,0.82
Executioner,Ice Wizard,0,0,0,0.8472,0.5625
Executioner,Inferno Tower,0,0,0,0.8472,0.5625
Executioner,Knight,0,0,0,0.8472,0.5625
Executioner,Lava Hound,0,0,0,0.8472,0.5625
Executioner,Mega Knight,0,0,0,0.8472,0.5625
Executioner,Mortar,0,0,0,0.8472,0.5625
Executioner,Mother Witch,0,0,0,0.8472,0.5625
Executioner,Musketeer,2,0,2,0.8472,0.8472
Executioner,Night Witch,0,0,0,0.8472,0.5625
Executioner,P.E.K.K.A,1,0,1,0.8472,0.82
Executioner,Poison,2,0,2,0.8472,0.8472
Executioner,Princess,0,0,0,0.8472,0.5625
Executioner,Rage,0,0,0,0.8472,0.5625
Executioner,Ram Rider,0,0,0,0.8472,0.5625
Executioner,Rascals,1,0,1,0.8472,0.82
Executioner,Rocket,0,0,0,0.8472,0.5625
Executioner,Royal Delivery,1,0,1,0.8472,0.82
Executioner,Royal Giant,0,0,0,0.8472,0.5625
Executioner,Rune Giant,0,0,0,0.8472,0.5625
Executioner,Suspicious Bush,1,0,1,0.8472,0.82
Executioner,The Log,1,0,1,0.8472,0.82
Executioner,Tombstone,0,0,0,0.8472,0.5625
Executioner,Vines,0,0,0,0.8472,0.5625
Executioner,Witch,1,0,1,0.8472,0.82
Executioner,Wizard,0,0,0,0.8472,0.5625
Executioner,X-Bow,0,0,0,0.8472,0.5625
Executioner,Zappies,0,0,0,0.8472,0.5625
Fireball,Baby Dragon,3,4,7,0.3792,0.441
Fireball,Barbarian Hut,0,3,3,0.3792,0.3898
Fireball,Berserker,1,1,2,0.3792,0.5
Fireball,Dart Goblin,1,2,3,0.3792,0.3898
Fireball,Electro Spirit,5,6,11,0.3792,0.4604
Fireball,Electro Wizard,0,3,3,0.3792,0.3898
Fireball,Elixir Golem,0,0,0,0.3792,0.5625
Fireball,Executioner,0,1,1,0.3792,0.404
Fireball,Fisherman,0,0,0,0.3792,0.5625
Fireball,Flying Machine,3,4,7,0.3792,0.441
Fireball,Furnace,1,0,1,0.3792,0.82
Fireball,Giant,0,0,0,0.3792,0.5625
Fireball,Giant Snowball,0,0,0,0.3792,0.5625
Fireball,Goblin Barrel,3,3,6,0.3792,0.5
Fireball,Goblin Demolisher,0,1,1,0.3792,0.404
Fireball,Goblin Drill,0,0,0,0.3792,0.5625
Fireball,Goblin Giant,1,0,1,0.3792,0.82
Fireball,Goblin Hut,1,4,5,0.3792,0.3815
Fireball,Golem,0,2,2,0.3792,0.3958
Fireball,Graveyard,2,4,6,0.3792,0.3785
Fireball,Hunter,0,0,0,0.3792,0.5625
Fireball,Ice Spirit,1,5,6,0.3792,0.3785
Fireball,Ice Wizard,1,0,1,0.3792,0.82
Fireball,Inferno Tower,0,0,0,0.3792,0.5625
Fireball,Knight,3,6,9,0.3792,0.3722
Fireball,Lava Hound,0,0,0,0.3792,0.5625
Fireball,Mega Knight,0,0,0,0.3792,0.5625
Fireball,Mortar,0,0,0,0.3792,0.5625
Fireball,Mother Witch,2,0,2,0.3792,0.8472
Fireball,Musketeer,2,8,10,0.3792,0.3707
Fireball,Night Witch,0,0,0,0.3792,0.5625
Fireball,P.E.K.K.A,1,1,2,0.3792,0.5
Fireball,Poison,1,10,11,0.3792,0.3693
Fireball,Princess,0,0,0,0.3792,0.5625
Fireball,Rage,0,0,0,0.3792,0.5625
Fireball,Ram Rider,0,0,0,0.3792,0.5625
Fireball,Rascals,2,3,5,0.3792,0.421
Fireball,Rocket,1,0,1,0.3792,0.82
Fireball,Royal Delivery,2,0,2,0.3792,0.8472
Fireball,Royal Giant,0,1,1,0.3792,0.404
Fireball,Rune Giant,0,0,0,0.3792,0.5625
Fireball,Suspicious Bush,2,1,3,0.3792,0.6224
Fireball,The Log,5,9,14,0.3792,0.3726
Fireball,Tombstone,3,6,9,0.3792,0.3722
Fireball,Vines,5,6,11,0.3792,0.4604
Fireball,Witch,2,1,3,0.3792,0.6224
Fireball,Wizard,1,0,1,0.3792,0.82
Fireball,X-Bow,1,1,2,0.3792,0.5
Fireball,Zappies,0,0,0,0.3792,0.5625
Fisherman,Baby Dragon,0,0,0,0.5625,0.5625
Fisherman,Barbarian Hut,0,0,0,0.5625,0.5625
Fisherman,Berserker,0,0,0,0.5625,0.5625
Fisherman,Dart Goblin,0,0,0,0.5625,0.5625
Fisherman,Electro Spirit,0,0,0,0.5625,0.5625
Fisherman,Electro Wizard,0,0,0,0.5625,0.5625
Fisherman,Elixir Golem,0,0,0,0.5625,0.5625
Fisherman,Executioner,0,0,0,0.5625,0.5625
Fisherman,Fireball,0,0,0,0.5625,0.5625
Fisherman,Flying Machine,0,0,0,0.5625,0.5625
Fisherman,Furnace,0,0,0,0.5625,0.5625
Fisherman,Giant,0,0,0,0.5625,0.5625
Fisherman,Giant Snowball,0,0,0,0.5625,0.5625
Fisherman,Goblin Barrel,0,0,0,0.5625,0.5625
Fisherman,Goblin Demolisher,0,0,0,0.5625,0.5625
Fisherman,Goblin Drill,0,0,0,0.5625,0.5625
Fisherman,Goblin Giant,0,0,0,0.5625,0.5625
Fisherman,Goblin Hut,0,0,0,0.5625,0.5625
Fisherman,Golem,0,0,0,0.5625,0.5625
Fisherman,Graveyard,0,0,0,0.5625,0.5625
Fisherman,Hunter,0,0,0,0.5625,0.5625
Fisherman,Ice Spirit,0,0,0,0.5625,0.5625
Fisherman,Ice Wizard,0,0,0,0.5625,0.5625
Fisherman,Inferno Tower,0,0,0,0.5625,0.5625
Fisherman,Knight,0,0,0,0.5625,0.5625
Fisherman,Lava Hound,0,0,0,0.5625,0.5625
Fisherman,Mega Knight,0,0,0,0.5625,0.5625
Fisherman,Mortar,0,0,0,0.5625,0.5625
Fisherman,Mother Witch,0,0,0,0.5625,0.5625
Fisherman,Musketeer,0,0,0,0.5625,0.5625
Fisherman,Night Witch,0,0,0,0.5625,0.5625
Fisherman,P.E.K.K.A,0,0,0,0.5625,0.5625
Fisherman,Poison,0,0,0,0.5625,0.5625
Fisherman,Princess,0,0,0,0.5625,0.5625
